 Subject_1, Subject_2, Subject_3, Subject_4, Subject_5, Subject_6, Subject_7, Subject_8, Subject_9,Subject_10,Subject_11,Subject_12,Subject_13,Subject_14,Subject_15,Subject_16,Subject_17,Subject_18,Subject_19,Subject_20,Subject_21,Subject_22,Subject_23,Subject_24,Subject_25,Subject_26,Subject_27,Subject_28,Subject_29,Subject_30,Subject_31,Subject_32,Subject_33,Subject_34,Subject_35,Subject_36,Subject_37,Subject_38,Subject_39,Subject_40,Subject_41,Subject_42,Subject_43,Subject_44,Subject_45,Subject_46,Subject_47,Subject_48,Subject_49,Subject_50,Subject_51,Subject_52,Subject_53,Subject_54,Subject_55,Subject_56,Subject_57
0.6723316,0.4160895,0.5872266,0.8064727,0.8058633,0.7420085,0.6518501,0.8086377,0.6370811,0.7620476,0.6941221,0.7213776,0.6853572,0.7073714,0.6732344,0.7600644,0.5481133,0.6080409,0.7008523,0.7815373,0.6895891,0.7523673,0.7503952,0.4879243,0.5002104,0.7018564,0.682243,0.8001635,0.6824598,0.6447819,0.8163217,0.8510357,0.7308937,0.702792,0.8201068,0.8088238,0.5866944,0.6328887,0.6311678,0.4164349,0.6898175,0.6079133,0.6458139,0.7583901,0.8039912,0.7575906,0.7257329,0.8535164,0.6776472,0.6369252,0.6634311,0.685193,0.8228093,0.5825138,0.6558523,0.8120213,0.83507
0.6779202,0.4407721,0.7544977,0.8350915,0.7891032,0.7491614,0.6880677,0.7405362,0.6087327,0.8001931,0.8366748,0.7014,0.8349363,0.7476751,0.7088782,0.9071823,0.7159192,0.6103749,0.6320971,0.7615768,0.8897761,0.7916873,0.8777654,0.6996638,0.5472361,0.748938,0.7081424,0.7530131,0.7608424,0.7090531,0.4630441,0.8697944,0.7430596,0.7265375,0.6961657,0.8403897,0.7943584,0.8258103,0.8336164,0.4654565,0.6052721,0.6907781,0.7915998,0.6671005,0.4636068,0.7217909,0.6385375,0.718827,0.6373594,0.82438,0.4840809,0.5846403,0.7706739,0.4509723,0.6127264,0.8309171,0.656009
0.5434625,0.4999829,0.331021,0.7025653,0.6181061,0.6157103,0.4910982,0.5724849,0.5770309,0.5843019,0.6107755,0.5754027,0.5759379,0.6635457,0.5173215,0.8702115,0.5003478,0.4293368,0.4753593,0.53653,0.496077,0.6722649,0.7216269,0.6299303,0.5138745,0.5431932,0.5873626,0.6191053,0.5104342,0.625352,0.5529876,0.8214271,0.7329968,0.7247593,0.5950972,0.733816,0.5667456,0.5795994,0.5742624,0.4188236,0.7399448,0.65796,0.5102447,0.606711,0.4285888,0.6685528,0.4895681,0.5664038,0.513257,0.5086103,0.5253429,0.6778796,0.7086908,0.1806126,0.3139671,0.7074252,0.5532098
0.1994426,0.355204,0.2422321,0.50686,0.531624,0.3744634,0.3200487,0.4270992,0.357617,0.3578163,0.3509569,0.4972021,0.4807052,0.2216403,0.4421442,0.8123443,0.1957111,0.2252581,0.3086606,0.4249797,0.4504473,0.3215455,0.4230927,0.2385067,0.1844752,0.2400949,0.1819276,0.3548546,0.2584068,0.3316921,0.5965162,0.457274,0.2929983,0.2598381,0.3739164,0.2798634,0.289831,0.2440869,0.2406141,0.1138104,0.4239258,0.350026,0.3845651,0.2880993,0.5502461,0.3993802,0.3291219,0.4246947,0.5751695,0.1643014,0.354287,0.3022556,0.3542951,0.5206124,0.7377059,0.5370595,0.4700981
0.5076852,0.6731533,0.6364887,0.7683254,0.7835287,0.679068,0.6113192,0.6791912,0.7060997,0.6689301,0.7386711,0.7479205,0.7656227,0.5198711,0.6657679,0.4629164,0.6785355,0.5517584,0.5340204,0.7391321,0.7867249,0.6071095,0.7857834,0.528672,0.5656843,0.5048804,0.3678193,0.5594363,0.5907101,0.6336735,0.7205226,0.7273996,0.5296205,0.5308112,0.5549738,0.5278315,0.4217063,0.4838734,0.5408852,0.4739586,0.4467724,0.5119488,0.5165767,0.5741073,0.714886,0.6497915,0.6177346,0.6587942,0.6863619,0.5255251,0.629137,0.5184583,0.5527697,0.2548125,0.4454956,0.6323577,0.6675843
0.09159399,0.2979771,0.07496528,0.3997582,0.31921,0.254465,0.1456695,0.2259097,0.2359539,0.1886653,0.272503,0.2812018,0.4360191,0.1688641,0.2731339,0.7311563,0.1411899,0.155725,0.1268977,0.2024125,0.2591899,0.1816839,0.3738761,0.219066,0.09671663,0.1161415,0.1432498,0.1585833,0.1353203,0.229079,0.8599743,0.4491173,0.2210597,0.211199,0.1512214,0.1824157,0.1897399,0.1476633,0.1721739,0.07214876,0.7583368,0.2605654,0.2394092,0.1481188,0.1681263,0.2693207,0.1492969,0.1980836,0.4414029,0.07166522,0.2113002,0.1964013,0.2166603,0.8231274,0.8243743,0.3499051,0.2037545
0.2267755,0.3736553,0.394531,0.5656455,0.5595792,0.4867539,0.3451897,0.5459009,0.4395205,0.5052896,0.3946601,0.5383579,0.5098211,0.2462527,0.4294167,0.2546542,0.2425767,0.2534193,0.3657914,0.4895391,0.4666058,0.2993625,0.4679777,0.2468781,0.2008864,0.3033101,0.4491388,0.4332335,0.4519201,0.3672217,0.6427929,0.4966769,0.3112164,0.3269188,0.5291886,0.3655133,0.437871,0.263723,0.2846612,0.1325544,0.3917428,0.3475482,0.4264897,0.2943899,0.5689549,0.4035582,0.3720756,0.4596285,0.6284453,0.1892744,0.3148766,0.35052,0.4058229,0.5829967,0.7825204,0.8189852,0.6408028
0.6058107,0.7599576,0.8214469,0.8590101,0.8365303,0.8410295,0.6690158,0.8170676,0.8715817,0.8551579,0.7910587,0.859285,0.8343816,0.6221481,0.6591035,0.5823768,0.8272687,0.5980606,0.6418791,0.8363622,0.8592908,0.5810356,0.8235555,0.6051612,0.62852,0.6135746,0.5983909,0.7003447,0.7566835,0.7193748,0.7826027,0.8106171,0.6516189,0.6717859,0.7444007,0.6837181,0.5580189,0.5519536,0.6398815,0.5573582,0.5711832,0.5912675,0.568253,0.6392452,0.7865375,0.7271498,0.7237754,0.74776,0.5252215,0.5875281,0.6684678,0.6390243,0.6767194,0.4322845,0.5617899,0.9534798,0.7970199
0.1510109,0.4201898,0.199342,0.5070308,0.3765299,0.3980848,0.1985389,0.3801693,0.3616728,0.3886042,0.3716332,0.3852095,0.4965985,0.2279062,0.263264,0.3946748,0.2310307,0.2003492,0.2013591,0.3243254,0.3009464,0.2045145,0.4977994,0.2956128,0.1429678,0.1815486,0.4890024,0.3018098,0.334902,0.2929143,0.4091759,0.5197652,0.3337185,0.3133806,0.3010472,0.3010051,0.3325793,0.2065639,0.2195827,0.1098939,0.8331563,0.3319572,0.2961336,0.1868436,0.2747792,0.3246489,0.2110397,0.2696981,0.7031899,0.1051065,0.2681543,0.3172023,0.3240982,0.557143,0.6593727,0.695969,0.5029601
0.8200605,0.8624601,0.7667249,0.8541251,0.9187858,0.8233028,0.8640716,0.800105,0.8360104,0.7974054,0.8390199,0.8196713,0.8484833,0.8007638,0.9496049,0.1358273,0.8171806,0.8049825,0.8183117,0.8299639,0.8595774,0.7134538,0.8424778,0.8360485,0.8498724,0.8319982,0.5698663,0.765056,0.7351,0.9086736,0.6562412,0.8866029,0.7993701,0.7982383,0.7650262,0.8222882,0.7377123,0.8015417,0.8379975,0.8866784,0.81967,0.8360195,0.8815716,0.9211372,0.8492517,0.8574671,0.8336235,0.8618891,0.5054275,0.8946143,0.816334,0.7470294,0.7689829,0.7390582,0.8868068,0.6449087,0.597812
