 Subject_1, Subject_2, Subject_3, Subject_4, Subject_5, Subject_6, Subject_7, Subject_8, Subject_9,Subject_10,Subject_11,Subject_12,Subject_13,Subject_14,Subject_15,Subject_16,Subject_17,Subject_18,Subject_19,Subject_20,Subject_21,Subject_22,Subject_23,Subject_24,Subject_25,Subject_26,Subject_27,Subject_28,Subject_29,Subject_30,Subject_31,Subject_32,Subject_33,Subject_34,Subject_35,Subject_36,Subject_37,Subject_38,Subject_39,Subject_40,Subject_41,Subject_42,Subject_43,Subject_44,Subject_45,Subject_46,Subject_47,Subject_48,Subject_49,Subject_50,Subject_51,Subject_52,Subject_53,Subject_54,Subject_55,Subject_56,Subject_57
0.7608533,0.7960239,0.7267227,0.7569474,0.8240708,0.6755663,0.6236888,0.7716473,0.6215292,0.4137376,0.7271452,0.728425,0.8558395,0.8003335,0.7281132,0.7771115,0.7084388,0.7772939,0.5334444,0.7956978,0.7048393,0.8314273,0.6951958,0.4595124,0.8202813,0.7085524,0.7161452,0.7774959,0.692018,0.4363957,0.5132377,0.6353655,0.8346846,0.7348661,0.886309,0.6988853,0.2794275,0.581718,0.6106345,0.3564431,0.7859051,0.7393168,0.6749311,0.7642258,0.8158783,0.7589799,0.5346271,0.7293969,0.7184895,0.7763559,0.8539328,0.6220788,0.7370766,0.832287,0.7474753,0.715726,0.6892573
0.6883275,0.7184444,0.8184264,0.6663395,0.8060753,0.5984781,0.6175965,0.7114175,0.7140638,0.6845253,0.8275687,0.828564,0.900679,0.8067598,0.7010078,0.7243424,0.9339781,0.7115971,0.5567788,0.7962937,0.6907981,0.6642171,0.7764794,0.5093307,0.6773955,0.566375,0.6280885,0.754312,0.7176444,0.447002,0.148568,0.5545609,0.7318255,0.6134232,0.4843186,0.8168393,0.5472968,0.5669705,0.8470102,0.6626474,0.7938028,0.8325779,0.216605,0.595995,0.8228556,0.8136223,0.6329235,0.7695358,0.6968702,0.8304459,0.8738878,0.69767,0.6261168,0.8174409,0.7100689,0.7390025,0.6093521
0.5384271,0.6851201,0.5324869,0.5913995,0.640846,0.5405284,0.4369141,0.6763808,0.546941,0.4492758,0.5615393,0.6595199,0.7588812,0.6718599,0.6186413,0.5943238,0.6538501,0.6045963,0.5221434,0.7432122,0.6153824,0.6285549,0.6648805,0.1090656,0.6055648,0.4595877,0.3687297,0.6905773,0.551971,0.7786831,0.2110615,0.6994249,0.7450534,0.5404409,0.4448236,0.656406,0.4473309,0.5562934,0.5554475,0.411335,0.7718354,0.7101411,0.103125,0.5574923,0.6332492,0.5614858,0.4219835,0.5511828,0.6359876,0.6702381,0.7645683,0.6246787,0.5987883,0.6674039,0.6534977,0.5732998,0.5582141
0.2974038,0.4418485,0.2256352,0.3068766,0.5720087,0.2940552,0.2935963,0.3931688,0.3323567,0.1922062,0.2941045,0.351375,0.6022137,0.4219186,0.3810267,0.3717023,0.1935246,0.366056,0.2024599,0.5239121,0.3587877,0.4213355,0.3894717,0.6067817,0.4951345,0.6676331,0.4105512,0.5373213,0.391387,0.7110975,0.1682082,0.4870614,0.514957,0.3635686,0.6855245,0.3193783,0.2462238,0.182332,0.2935095,0.1525139,0.4792294,0.3825209,0.283999,0.333479,0.449944,0.3166924,0.2012415,0.201251,0.4097492,0.5797385,0.5889011,0.5123795,0.4185041,0.488038,0.4245578,0.4576521,0.4054287
0.5869819,0.7508158,0.4414293,0.573088,0.8332667,0.5753234,0.596972,0.5653179,0.6356931,0.4188609,0.5842261,0.6703449,0.7582549,0.6595873,0.6286732,0.6671283,0.4662334,0.5625562,0.513574,0.6959223,0.5971128,0.5711826,0.7342491,0.183262,0.8019001,0.7154152,0.7244609,0.7797723,0.5807532,0.6638194,0.2799651,0.8285518,0.7013736,0.5749991,0.8135128,0.6692412,0.5989725,0.4966972,0.614967,0.6169856,0.6679143,0.6260206,0.1779616,0.5883329,0.7244681,0.6191494,0.4915371,0.494096,0.6996197,0.8425046,0.7119407,0.5053629,0.6364573,0.7591081,0.6650461,0.6847318,0.6615464
0.1414538,0.3650697,0.08546833,0.1495799,0.357245,0.1757506,0.1267441,0.2414251,0.2283591,0.1233884,0.1284304,0.2801534,0.4526747,0.2890967,0.2189548,0.2254554,0.1349628,0.2196448,0.1361501,0.3674082,0.1975021,0.2143231,0.3382929,0.8625157,0.3777929,0.7446969,0.1613709,0.389971,0.1966663,0.8045905,0.8657335,0.4664759,0.3227359,0.1795296,0.1938657,0.2374222,0.2246977,0.1610891,0.2019025,0.1177663,0.4170534,0.2881232,0.8282157,0.1653812,0.2889179,0.1435966,0.1030949,0.08158322,0.2825099,0.4225827,0.4032887,0.3811617,0.1988128,0.3432552,0.3443941,0.3313823,0.2120119
0.3427986,0.4835722,0.2984768,0.3544141,0.5785917,0.3297307,0.2946159,0.4516169,0.3500215,0.2420397,0.3536935,0.3891302,0.670487,0.4522863,0.4099992,0.3927115,0.2809707,0.4453687,0.2540517,0.5635155,0.3941185,0.5098056,0.4172023,0.7066087,0.5271275,0.5768549,0.5321908,0.6131063,0.5028367,0.5634969,0.3091466,0.550897,0.5463366,0.378548,0.6271259,0.3868755,0.2859226,0.241995,0.3524446,0.1898007,0.5440874,0.3040967,0.4970828,0.3436475,0.5796503,0.4032139,0.2259689,0.2527134,0.4362529,0.5772884,0.6485798,0.5501516,0.4749327,0.6923606,0.3948324,0.4809794,0.4600193
0.6791911,0.8379552,0.5752307,0.7102032,0.8470356,0.6394189,0.6700031,0.7071266,0.7007802,0.5218846,0.687265,0.7284806,0.8411669,0.7369469,0.6624916,0.7478715,0.6650818,0.7474219,0.6800253,0.7949112,0.6656425,0.7015864,0.7865969,0.4493363,0.74839,0.7345546,0.8469072,0.895404,0.7542719,0.1115047,0.5093139,0.9265887,0.8095712,0.6254284,0.7778357,0.8136719,0.665024,0.5934322,0.7559587,0.738907,0.7442434,0.6643322,0.4483945,0.6903938,0.8753212,0.7169838,0.5788459,0.5934684,0.7697259,0.8687593,0.7720178,0.5888978,0.7519135,0.8681712,0.6962544,0.7459937,0.7902983
0.2118896,0.4490722,0.1526965,0.2334112,0.3910214,0.2472495,0.1761296,0.3705183,0.2822749,0.220611,0.2173129,0.3466696,0.5512729,0.3653134,0.3031009,0.2879012,0.229533,0.324889,0.2231093,0.4917793,0.2837419,0.3401251,0.397204,0.5490028,0.6045545,0.3447643,0.2645128,0.5647584,0.323744,0.09784767,0.5336647,0.6094396,0.4518068,0.224989,0.3033378,0.3747665,0.295392,0.5134642,0.3321034,0.1856906,0.5217055,0.2731686,0.5674304,0.2376426,0.4352427,0.2301609,0.1667023,0.1341203,0.3450578,0.5058308,0.4720266,0.4778611,0.3360535,0.6019046,0.3675894,0.3533213,0.3165444
0.8209755,0.902483,0.8088068,0.8266752,0.9515825,0.8478829,0.8517382,0.7792194,0.8513501,0.8168814,0.831044,0.8636185,0.9033357,0.8479759,0.7461939,0.8847306,0.7961847,0.777781,0.798538,0.8517171,0.8397188,0.7417616,0.8019819,0.7594945,0.7652087,0.6870545,0.8404647,0.8344896,0.7847348,0.3314916,0.7587417,0.8873804,0.8807273,0.7230394,0.8120959,0.8027676,0.8316204,0.503189,0.7772089,0.8459743,0.8493904,0.8129588,0.7969097,0.8016386,0.8493991,0.8772643,0.7346153,0.884079,0.8614937,0.8745114,0.8888475,0.7761235,0.7817607,0.8249295,0.8338484,0.835246,0.8485392
