Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60
NaN,1875232053.1964,805012878.744521,1600771192.22885,467699583.967866,637405244.867556,502321492.065692,427060828.409074,751996467.508483,559342258.139811,1727137511.47293,957486065.830451,1833438120.0102,641452383.939416,491913525.839048,512572373.558871,685743225.509924,1491459808.00537,1148103701.1666,848098620.311117,375288831.843575,481407464.773987,1240767837.1288,434699251.456514,425202927.660927,207996408.40473,281699996.637038,386131916.963544,387067362.129545,445227084.091499,212209273.010749,548763306.852728,386656743.247691,1074285376.35569,229795198.579939,207702796.640665,402725253.882808,397121148.454298,165341409.338157,255925950.728502,307191886.019542,460233889.357796,347751665.477284,287175469.918861,379944607.159584,517855114.528042,1208587655.10608,278259886.693342,465385874.789045,401643209.26236,552391494.055249,194879760.857585,577977052.610003,581032222.642349,468205455.77461,771013133.768515,336782981.755333,1113555882.17883,336507428.460109,801327807.282134
NaN,1683027.5055358,-2218676.94783442,1685235.19033783,6143710.17854402,8437054.63497301,2426441.56938417,1683798.16411278,-4602957.91940672,493507.389751233,-10407985.5040393,15161418.7813053,10644620.443093,3801490.84745872,6513611.63535284,-6843832.2688228,13830676.5392713,22498209.8523428,4501918.86075727,-5995397.55865411,-6025051.89424588,-3129587.21116522,-5017289.8502833,1730350.19517703,-2441619.65685719,1622228.06211561,3747054.97515952,1676014.66015362,3604272.1228191,813853.001828755,408609.074604213,-6585045.32683511,4332568.10868049,3691646.99621046,-7567.51127887466,2412402.47070921,-578446.25343247,4077890.30908671,1118809.67920398,1713202.4601995,1049350.13357876,1665540.44123846,280775.133503319,-1825642.0749563,-600367.433553577,4016823.25087117,12372062.9679395,-1035691.49284098,7839227.32439194,55495.2468667733,-3346309.02512644,-710092.086453579,3611193.2978134,-28156.9367244254,-3778999.95807381,11628156.3067873,-2651283.65755465,6116935.56615431,-4834589.45253767,2085137.4626154
NaN,-1466705688.90489,-282312951.90495,771533740.888972,-287972784.197442,216586703.650612,-297544161.916998,320988200.779513,502910546.349946,-97579826.1811757,-1068259861.01221,266558786.989576,613969211.661679,362480952.042552,203555316.96148,322717839.207253,-33063626.1428032,-721597719.50603,-971709900.024117,-293514609.371754,-205820341.463078,25692930.4590811,686845328.60282,-380451582.544751,308416846.540381,-9543581.45517395,-56124250.3345957,-153364867.738921,-272142513.266353,339082354.449012,197131163.402649,580221710.678005,55950813.5710793,594864133.60176,95268744.6229087,131516511.085195,9159857.46258918,139698567.401967,-87283985.7414201,-4552304.77774537,138952366.50695,-82318746.7061927,68988076.4455407,25819682.9292252,291161881.849471,-153431281.533967,353514225.746679,-121259505.657797,-389174231.15302,21500980.3071154,176022038.64084,-29586340.9266231,348933453.864964,-131247661.936516,154494240.182579,-802709306.366642,-161495204.065818,-503057532.753428,110811552.267439,407836520.223323
NaN,-2990678.96401222,-1040394.32801451,-16282584.8237206,-2076507.60543568,5437700.97371197,-2229263.27045309,-2444018.87696687,-12089399.157049,-5775407.59301299,2711229.82959667,-2098466.31833653,-6439571.7214158,-1517713.3810612,-9129095.21261092,-3567911.74039568,1385088.59800846,-25826963.6461959,-3400646.67095759,5013095.70649202,775690.825612046,-1094499.52999724,15957275.6739793,-1207820.17374537,-99636.7575430566,531144.273546329,-697688.528926745,1698440.2258423,-2454600.84090049,2148884.18094757,-1511264.66579044,734600.194897191,1613318.97124845,2473681.68170599,-227077.01409673,-972205.796521377,-171038.004542978,4300059.48065645,1299245.10937308,-1342269.49257991,-192285.544766809,1163128.61515919,-822461.256630945,-291797.009821169,1403787.24537001,3363407.43164106,5890012.43663792,-569684.962365617,-4987111.64776667,-1284734.47948342,-1187100.28523314,157698.991290404,-3439397.53396101,472343.789787972,-1695604.19673359,-741835.115675413,2340279.69894241,1826919.45196013,-1932000.50820593,4861802.73993719
NaN,445009722.612577,-483573617.284802,-145795156.034489,78737682.0255436,-41537259.9704457,2954771.47772444,27963965.7046237,62265852.778894,147027795.467447,270505573.866425,-168016858.238391,-167253797.152116,7084156.75237995,189171595.350107,-57191725.0341063,240467288.172502,58715575.2898816,681851526.918258,46133942.5585921,-128917224.550593,-58562986.6739351,10325394.6400925,60586844.7645322,85130098.7234385,-50461483.6867652,-41964245.2264306,-31799745.7845754,18327627.2112501,-79597547.0185521,-4847637.96842346,48290780.9091688,-5666857.05993064,-198726881.695011,-23928434.202485,12307679.5340612,48839074.6083933,106658717.563273,-132310992.487316,27440798.8305404,-88593660.0993722,66539101.9618137,35266784.1887328,60230580.2636855,33428963.3199487,26844252.9961165,3828946.45189765,68413821.6314245,12671557.6013822,-95739333.638411,27671314.3922027,-48604411.8642584,-88446741.2328244,140282069.578191,60206315.0222967,115660320.705593,120435192.283398,-27470223.9402057,-50962695.3590447,163266978.587869
NaN,103905521.914807,320573003.500166,-380151676.838231,-12021672.2607845,17155589.2929263,24000291.2976254,22655455.7162321,-174926852.864048,124462574.748503,-237651603.783527,-14462847.9543464,130969484.892767,252430852.15955,88099745.292879,-7933029.80559627,54295659.0193595,-203558113.074171,14144507.0541149,-194738569.871611,187110728.671553,-225446693.753817,-10462175.3349814,46070748.8269512,-69426479.0115778,47188657.0980705,194098027.066478,74596159.6996509,-147365801.093315,98787974.033392,-95018956.2649262,-313881901.460933,-66115226.6731945,149231387.40302,12693236.8700917,87545597.2526605,-63977150.8039686,-37941189.2852793,80275171.817175,88538383.8769055,60671219.0574001,347043652.153457,-5047199.4783183,108206191.57547,174111562.365238,164421873.495815,-291298665.790594,10976989.5609833,-75472689.6723693,-48689406.7849295,-14353585.1868325,56809375.4958931,-77056890.8821421,204645717.905577,64290252.3173479,222023122.495093,120172031.79548,-474091168.475629,98691145.4589977,-248285267.447061
NaN,-1928284051.25325,860884234.34814,1503820542.49122,-473111237.253715,-551219346.539436,-527962956.183291,387158136.113038,-814651385.008019,571328161.24417,1639410256.12992,-1069128463.55146,1874850049.237,679137128.652206,510271896.413625,-517833823.583318,691043271.375654,-1452260921.02577,1189529862.34161,819168715.223535,-420178696.47007,-486869477.210554,1241527750.82765,389520302.67731,403018695.272049,229121959.920781,306781775.314937,-397859981.639071,407464233.58345,-329663268.126103,225191658.274365,440725442.038749,-403406637.204691,-1115694417.30871,-249237418.166719,115230613.302217,426419464.765766,413179256.136582,126997464.509239,269043002.46838,327912140.034198,-445644734.992037,349361185.515849,-259500905.48899,-334547520.144147,524143572.207161,-1272284298.59486,-282826758.014986,438461883.626524,421234116.414474,-581201815.547231,230335770.642057,-531063946.845981,-619130584.340255,-466948346.234697,793143026.652965,122377944.141112,-1181214705.02042,375038998.171675,-884806072.688266
NaN,1408103129.01453,747429845.363603,954215051.92845,-414732160.782906,355307561.452276,-285897983.77973,-194064175.578983,-1219207304.70377,581323725.131289,674919605.959078,-847272456.672702,490350259.411745,918192748.749083,790865898.984041,561154153.17187,560456251.956149,-1532788968.37283,207131428.149236,847909012.040782,-525928404.476038,-502861202.471674,-1663589225.28147,-335939134.175239,207732763.335945,-379534038.845268,414119078.761068,307193088.511679,-397738602.417156,-392570117.407557,-177493011.923283,723508863.463855,-459817446.864922,-1078178817.98981,169032534.331292,62291030.8683855,738012681.088636,467078846.078731,145935453.503899,229409448.851559,394316016.65976,-428572935.142488,299864198.914709,-264466511.177949,608289523.138986,-587022070.176991,-1471705950.24023,-198327966.774075,488498076.614507,581875730.031212,476775400.134625,113479131.865108,-311801710.488488,-922443957.080402,-240524094.28012,-1021512227.82,122742177.391646,-1837151087.05511,425411875.589537,-697668196.327377
NaN,-114199964.112232,-143992340.972617,41176038.2613349,91758948.201212,-60685463.559893,-15299448.5950745,780175.386458544,58238083.569245,-54626267.3063865,-119073158.537493,-145274343.580126,-349828868.864356,-89633448.2955463,162560942.546154,64245647.4603037,-64580821.424918,170337884.010099,25661787.2614156,-105331040.514107,33363494.4327538,-33098627.3695479,429137674.461412,-88625455.9329588,-9727705.79854414,94875627.390081,102044097.442455,14035068.4135526,132725456.67759,135585168.624351,-55130668.7023384,-224729482.223674,-82126254.8542608,110483410.446404,28029034.9137528,62904528.5350796,-222088315.50925,-16416145.8948487,22932029.7393159,-25904603.3655604,8039965.68732379,-67169423.5162756,26201060.7929836,102429419.527833,-127361996.959811,-28879748.9738359,-277085446.955857,-37799654.3604599,-33209315.5985103,57832694.5694798,90457657.9920839,-9182829.2881994,-28111691.1698056,-75157149.5181512,20937063.2575486,251414498.447251,15753645.4125118,331400041.310545,-74318432.7049275,-23314244.3977294
NaN,418601211.861165,12940988.8923818,-222556621.317586,143978162.814321,168623382.098995,111920616.767661,89887430.9767597,225271567.671901,-174971762.848584,-339233394.666777,203238822.456491,-568429000.846098,187141324.480901,-91168948.2966985,-124831872.571343,-155978593.120639,274249873.800287,202205913.168511,207658787.704767,-75274335.2065659,149400597.197555,451978615.056317,131447209.776914,172974801.597212,-44384638.3328268,147479829.011068,98292094.0411953,59977928.6196288,177346661.714678,-76022202.3882854,266739206.597316,91765069.8387695,246160619.23554,-50009902.5330674,-123694162.185558,-156920150.601284,-98308829.5366145,49901737.1318387,17848328.3165369,71800417.329167,189132142.276159,-102998213.228679,-72998313.3200752,-17829421.3238462,-40947131.3768915,386193500.748466,-43098342.5979981,32746895.034311,-84691180.0680265,125859636.018737,34757721.198302,123710927.753115,-126720332.197471,80747994.8952143,-28735497.534758,-160056631.950865,115690548.168941,139611497.420349,61305384.8199026
